candidate_id,survey_date,overall_experience_rating,communication_rating,process_speed_rating,transparency_rating,would_recommend_company,feedback_comments
2258,2024-02-06,3,4,4,3,False,
906,2024-04-25,3,2,2,5,False,
510,2024-01-07,4,4,1,5,False,"Form even now provide office heavy. Opportunity late market source art. Specific adult collection.
Author term many. Rock bed film wait."
121,2024-02-28,4,2,2,4,False,
16,2024-01-15,3,4,2,4,False,
1612,2024-04-19,3,3,4,3,False,
1165,2024-05-18,2,1,2,4,False,
1008,2024-06-20,4,2,2,2,True,"Leave fund officer. Movement little name good subject very wait. Too recognize final boy begin show forget.
West public size. Consider by animal building attorney success."
875,2024-04-29,3,4,3,4,True,"Those become staff history girl. Either former age. Good recognize like also school.
Interview cost less bad third not group. Receive development day reason order rest conference."
2759,2024-06-29,3,1,3,4,False,
634,2024-04-23,3,4,3,4,False,
755,2024-02-21,4,4,2,2,True,
1772,2024-05-19,2,4,1,1,True,
2562,2024-04-25,1,3,2,3,False,"Themselves walk factor determine remember. Social figure building notice. Operation send drug relationship tax every late difficult.
Enough moment put price no certainly. Order matter campaign."
617,2024-01-17,1,3,2,3,False,
526,2024-05-06,3,3,2,4,True,
2019,2024-03-18,2,4,1,2,False,
1841,2024-06-09,3,3,1,2,False,
1915,2024-05-20,4,4,2,4,True,
1913,2024-05-11,1,3,1,3,False,
895,2024-01-06,1,3,2,3,False,"Cover piece six have line one. Also act few note. High ask rich development area.
Today themselves blood single."
835,2024-06-24,1,2,3,3,False,
309,2024-03-01,3,2,2,4,True,
1697,2024-02-16,4,1,1,4,True,
2074,2024-06-19,4,4,2,3,True,
139,2024-03-26,3,3,3,5,False,"Need country receive however determine authority. Nearly answer daughter three couple imagine usually.
Teach crime leader. Enter debate blue feeling."
1632,2024-05-19,3,3,2,4,False,
1646,2024-06-14,2,3,1,2,False,"Ask enjoy year few success. Choice Mr social hand. Clear spring participant.
Hospital Congress seem role senior serve. Cut minute check soldier act.
Form of blue daughter."
1224,2024-04-09,2,4,2,3,False,"Situation half staff join interview simply. Particular seem firm together arm everyone have argue.
Same news election maintain dog. Establish truth society another music."
1959,2024-01-26,2,1,4,5,False,
116,2024-01-07,1,3,2,5,False,
1815,2024-04-12,2,2,2,4,False,
15,2024-06-01,1,3,1,5,False,
850,2024-04-26,1,4,2,3,False,
2288,2024-02-07,4,4,3,2,True,
1481,2024-05-21,3,3,2,4,True,
215,2024-03-11,1,3,3,2,False,Produce national role when story. Politics real fly employee black skill over. Understand anyone growth must.
976,2024-04-21,3,3,3,1,False,
1551,2024-04-26,3,2,2,4,False,"Eat could of wait some between be. Budget leader message.
Work need southern sea anyone trouble. Lawyer anyone station fact.
Usually our good onto people edge great our."
142,2024-03-21,3,1,2,5,True,
1373,2024-04-27,1,4,3,4,False,
2517,2024-05-12,2,2,4,3,False,Heavy fly specific opportunity. Sure court crime save realize staff. Wish family kind toward adult.
1283,2024-02-18,1,3,1,4,False,
695,2024-01-04,3,4,3,2,False,"Civil there scientist increase environmental. Tv listen some civil grow child industry. Glass base special card pressure of.
Or bring follow ten. Despite charge fish serious red I."
2556,2024-01-26,2,4,2,5,False,"Pressure set American evening move. Region church standard base sure.
Site head fast production. Represent Mrs thank myself."
