interview_id,candidate_id,stage,stage_date,status,outcome,feedback_score,interviewer
1,1,Application,2023-04-25,In Progress,Advancing to next stage,,
2,1,Phone Screen,2023-05-04,Rejected,Communication issues,1.0,Peter Mendoza
3,2,Application,2023-08-17,In Progress,Advancing to next stage,,
4,2,Phone Screen,2023-08-24,In Progress,Advancing to next stage,5.0,Gregory Chapman
5,2,Technical Assessment,2023-08-28,In Progress,Advancing to next stage,,
6,2,First Interview,2023-08-31,Rejected,Insufficient technical skills,2.0,Paul Williams
7,3,Application,2024-03-08,Rejected,Other,,
8,4,Application,2023-08-12,Rejected,Other,,
9,5,Application,2023-01-28,Rejected,Other,,
10,6,Application,2023-08-14,In Progress,Advancing to next stage,,
11,6,Phone Screen,2023-08-14,Rejected,Did not meet requirements,,
12,7,Application,2023-01-07,In Progress,Advancing to next stage,,
13,7,Phone Screen,2023-01-13,In Progress,Advancing to next stage,5.0,Valerie Reid
14,7,Technical Assessment,2023-01-18,In Progress,Advancing to next stage,,
15,7,First Interview,2023-01-21,In Progress,Advancing to next stage,5.0,Dennis Palmer
16,7,Final Interview,2023-01-31,In Progress,Advancing to next stage,4.0,Caleb Grant
17,7,Reference Check,2023-02-02,In Progress,Advancing to next stage,,
18,7,Offer Extended,2023-02-04,In Progress,Advancing to next stage,,
19,7,Hired,2023-02-04,Rejected,Did not meet requirements,,
20,8,Application,2023-10-12,In Progress,Advancing to next stage,,
21,8,Phone Screen,2023-10-12,Rejected,Did not meet requirements,,
22,9,Application,2023-04-15,In Progress,Advancing to next stage,,
23,9,Phone Screen,2023-04-19,In Progress,Advancing to next stage,4.0,Kathy Johns
24,9,Technical Assessment,2023-04-20,In Progress,Advancing to next stage,,
25,9,First Interview,2023-04-20,Rejected,Did not meet requirements,,
26,10,Application,2024-01-03,Rejected,Other,,
27,11,Application,2023-02-14,In Progress,Advancing to next stage,,
28,11,Phone Screen,2023-02-21,Rejected,Insufficient experience,3.0,Paul Dodson
29,12,Application,2024-01-23,Rejected,Other,,
30,13,Application,2024-01-06,Rejected,Other,,
31,14,Application,2023-02-16,Rejected,Other,,
32,15,Application,2023-08-27,In Progress,Advancing to next stage,,
33,15,Phone Screen,2023-08-27,Rejected,Did not meet requirements,,
34,16,Application,2024-04-09,In Progress,Advancing to next stage,,
35,16,Phone Screen,2024-04-19,In Progress,Advancing to next stage,3.0,Michael Patterson
